Review,Relevant
"i hate that i cant change my cover photo on the app...
",1
"i have to go to the web for that and i cant organize my photos in certain albums only in the web!
",1
"i also can't change who views my information and stuff on my wall only in web...
",1
"this version crashes all the time.
",1
"it's slow little bit.
",1
"sd card storage need
",1
"it doesn't notify me of close friends updates.
",1
"i can't post any comments or status updates from my motorola razr
",1
"the app is slow and always hangs ...
",1
"it take a lot time in loading.
",1
"some times error in posting comment.
",1
"not able to download any pictures please fix these bugs immediately
",1
"this most recent update is extremely slow.
",1
"have to click on photo to view and ur lucky if it doesn't take 5 minutes.
",1
"pages freeze often.
",1
"i have to type my posts twice it keeps telling me ""post is null try again later""..
",1
"still having problems uploading sometimes, though.
",1
"takes forever time to reload..
",1
"it wont load any of my notifications when i click on them, pictures wont load, and my newsfeed wont refresh.
",1
"it does t even tell me there's an error.
",1
"it is the only way i can get the pictures people post to reappear on the timeline..
",1
"i'm scared of updating it but it's going slow wish me luck :/
",1
"was #1 battery user on my s3 even though i hadn't run the app in 3 days
",1
"performance is improved but kills battery fast.
",1
"everytime i go on to look at picture nothing shows up, just a grey picture...
",1
"now it is pointless cant see anything not even e cards...
",1
"the only pictures i can see are the mini profile pics beside there names on their statuses...
",1
"a lot of errors, i can't see pictures fix it please!!
",1
"never updates statuses..
",1
"won't upload any pictures!
",1
"friend finder needs to go wtf!
",1
"i can't even get the app to open anymore.
",1
"pls it was high time we got a good facebook app optimized for tabs.
",1
"the current fb app is not good at all for tabs with big screen.
",1
"the problem is with the way items display,pics are small,large empty space e.t.c the display generally not attractive.
",1
"slow as hell but i guess its alright!
",1
"notifications still suck, and doesn't show updates properly.
",1
"not to mention it force closes often...
",1
"this app is always so slow.
",1
"also every time i open it asks me if i want to search my email to find friends.
",1
"its okay except that when i scroll down and read statuses or posts it'll update and refresh but once it loads ten or more posts i can't keep scrolling down or like anything
",1
"i cant even login
",1
"now i cannot view any photos.
",1
"unable to change cover photo no option is available for this....
",1
"and also no option available for deleting a comment
",1
"network error, network error, alk the time on feeds page...
",1
"cant see any pics..
",1
"loading takes time even on 3g con it totaly sucks plz fix it asap!!!!!
",1
"i don't like the fact that im forced to view my friends posts as top stories when i much rather recent stories.
",1
"it won't let me delete comments made by others that i would lik to delete.
",1
"i cannot update my status.
",1
"occupies a lot of space
",1
"it told me that it needed an update before i continued using it and now it won't load any pictures :(
",1
"what's with the 13mb just for facebook, your just making the app slower and slower.
",1
"dosent load pics now
",1
"doesn't let me log in all the time.
",1
"takes forever to load.
",1
"doesn't show new notifications all the time.
",1
"why the hell can anyone access my android facebook account just by simply tapping on the ""sign up for facebook""
",1
"what the hell happened to privacy ???
",1
"said package was invalid  when i tried to download
",1
"you can't even delete comments you would like to remove off your own wall !!!!
",1
"poor in connectivity, very high memory usage.
",1
"slow and unresponsive.
",1
"i can't n haven't been able to to post or check anything for a long time!!!
",1
"how come no matter how many times i select i want the statuses shown by ""most recent"" and not ""top stories"" it still wants to show them the ""top stories"" first??
",1
"i can't update my status, check-in or photos on my fb wall.
",1
"always crashes, pls fix
",1
"either loads slower than molasses or doesn't load at all.
",1
"when i open it, whether on wifi or not, only first couple status load and then nothing.
",1
"was working great but now no pictures will open
",1
"it good app but i can't delete my comment in galaxy y pls update ^^
",1
"for facebook developer team, i recommend for the next update, please minimize the ram usage.
",1
"because facebook is use 60% of my ram free spaces.
",1
"this make my phone is lag.
",1
"logged out and now i can't log back in.
",1
"i go to look at app data and find out it was using 204mb of cache?!
",1
"takes 30minutes to load pictures.
",1
"app works great unless i am connected to wifi.
",1
"then it just endlessly sits on a loading screen.
",1
"complete and utter rubbish, no access to news feeds messages or notifications for weeks now,, sort it out!!!!
",1
"its superb app, there was a problem on loading page  on my samsung galaxy 5830i please solve anybody
",1
"can't see pictures and slow.
",1
"you can't edit your post once you comment and hit send. if you comment on someone's status and you make an error you can't fix it.
",1
"the font size facebook program in samsung galaxy note 10.1 is too small and do not have function to adjust font sizing.
",1
"slower and always need to force close.
",1
"i have had this app for a while but since the last update it won't load anything!
",1
"can barely even load my newsfeed!
",1
"now force closes all the time
",1
"lags phone
",1
"it works very well in my phone but it updates takes my sd card full.
",1
"i had to remove all updates because it would never load and could never connect, but now that the updates are gone it works perfectly
",1
"can not view any photos whatsoever.
",1
"no pictures would load and it would take forever for statuses to load.
",1
"well see they still haven't sorted the loading to this app...
",1
"have to either wait a stupid amount of time for updates or images to load or it just wont work.....
",1
"its good needs to able to change cover photos from my samsung galaxy s3 please next update
",1
"has crashed more times than i care to count - asus tf300t running android 4.1 please fix!!
",1
"i cant download any pic from here...
",1
"will not show pics just blank.
",1
"it works a bit slow and is not installable in mem.
",1
"card but uses phone memory thts a bad thing
",1
"i can post photos but i cant post status update.
",1
"connection sucks sometimes wont load photos with new update
",1
"after the last two updates i can no longer see pictures, it does load the feeds quickly but it isn't as good without being able to see all the pix
",1
"please add the option to save photo like in ios...
",1
"lacks many features of the regular facebook website and in addition has glitches such as loading the same 10 events one is attending over and over again rather than showing any more and differn events further in the future.
",1
"especially the notifications,aren't updating at all!
",1
"slow, unresponsive, and stories are mixed up even after hitting the ""most recent"" option.
",1
"when i click it it offs my cellphone or whatever!!
",1
"slower, force closes all the time, doesn't load pictures..
",1
"i cant post status here!
",1
"no image load
",1
"it doesn't update my fb feed since 31st jan.
",1
"i can force refresh and sometimes it works.
",1
"should include b'days
",1
"download gives a warning ""package file is invalid""
",1
"plz update this version to faster loading,it crashes many times...
",1
"all i want to do is check my notifications and messages..but i get stuck with a loading wheel that never goes away.
",1
"blank page takes a long time to load can't see my notifications
",1
"all the tym while chatting its going to hang and force stop what yo ra1 yaaar plzzz fix it
",1
"ever since i updated i can't upload any pics wth
",1
"just to slow all around 2 star app htc rezound
",1
"super irritating that photos and comments either don't load... or take forever to load.
",1
"it's slow unless you have wifi...
",1
