Review,Relevant
"sometimes when jumping the guy will do a full dive over the edge and kill himself.
",1
"the meter got stuck and doesn't move.
",1
"i have a motorola triumph and it always force closes.
",1
"i bought coins from the store but i can't get them it won't give them to me it was a waste of money if i can't get what i paid for
",1
"lags sometimes but not a lot.
",1
"like for eg i've got two coin objectives at the same time, so one of them fot stuck and cannot be completed anymore, shame.
",1
"the first two weeks i had it the app opened now it won't
",1
"even after completing the gold miner(500000 lifetime coins) - currently 573355 coins in total - objective is in incomplete status.
",1
"the timing is a bit off, but it is pretty addicting
",1
"won't even let ne play and it keeps sending me to my home screen i hate it
",1
"if it didn't lag & make u die 85% of the time.
",1
"better graphic and gameplay, although stutter a bit on my device
",1
"now it stutters, lags, and skips, very frustrating.
",1
"when it reached level 7, this game becomes lags,wtf.!
",1
"the game lags a lot after the recent update please fix it.
",1
"it stucks sometimes in between,plz fix it!
",1
"my temple run 2 app gets force closing during  the loading screen please fix it.
",1
"it's not starting in htc desire .
",1
"i have 500000 lifetime coins but the objective still reads uncompleted.
",1
"drain battery a little bit.
",1
"when i updated it it deleted my progress :-(
",1
"have an s3 and this game still runs like crap.
",1
"this game is nice but make it available of samsung galaxy y pls
",1
"but when are you guys gonna have better graphics its 2013
",1
"its ok it just be skipping off and on and that's not cool.
",1
"i noy able to download it!
",1
"if you currently have a special ability active (magnet, shield, etc) & pick up another one, please add time to it or something - anything - better than having it just go to waste & be useless.
",1
"puts the battery on its knees in just few minutes.
",1
"it was ok but when i turned it the stearing was stiff and it isn't my phone the first one is better.
",1
"the game is great, but with so much updates, now i can't pass through level 8.
",1
"a really cool game, just make the course easy to see.
",1
"i got the game then it said app uninstall when i try to buy it again it won't let me but the game is awesome
",1
"i love this game but i could not install this game.
",1
"runs pretty badly on nexus 7
",1
"add new power and advanture.
",1
"there is definite drag in the run.
",1
"please refund my money or add the gems to my account.
",1
"collection of diamonds r pretty hard but the spam for items are so fast that once this game is started it runs on ur fone the day long...
",1
"works great on phones but having trouble with my ipod ?
",1
"all the fun of the first with more except i do hate the mine cart part i rly feel like its not a proper part of the game
",1
"i luv this game it has really improved but it kills the battery! :-(
",1
"i don't like the fact that you have to buy upgrades...
",1
"excellent game but new upgrade 3d version or hd version
",1
"but it glitches sometimes , way less than the first but sometimes i just don't feel like using my gems .
",1
"its a great game but it lags sometimes .
",1
"could use some extra boosts more characters and rewards for finishing a objective and not a level
",1
"the update turned the temple run less nice in control.
",1
"great game but it is a little jerky and skips little parts frequently.
",1
"as i open it , it just displays the opening screen and after a minute or so , it disappears and comes back to the homesceeen .
",1
"i have earned more than 500k coins but that objective has still not ticked off!
",1
"also the 1000k coin bar isnt moving forward at all!
",1
"swipes often fail to register.
",1
"if you jump early then you go through the cliff that your landing at even though you landed on the edge.
",1
"game crashes on open pls fix i like this game very much
",1
"i just hate that the service gets interrupted alot playing this game.
",1
"i would love it if the whole game would go a little smoother, and that the mine carts and zip lines would be more frequent.
",1
"this app won't download
",1
"needs update on tilting and more thrilling music.
",1
"i have a galaxy s3 and the game still lags i dont get it at all.
",1
"everytime i click temple run it goes to my home screen
",1
"seems to be effecting the performance of my phone, slowing down other apps and freezing phone.
",1
"on my phone i tap the app and it starts to load and then just goes back to its homescreen it sucks
",1
"sometimes  hangs while running on samsung s7562
",1
"game stucks every time when i am out at first time.
",1
"the option to disable game music works fine but the option to disable the game sound doesn't work.
",1
"i purchased coins over 2 weeks ago and have not recieved them
",1
"its a good game but it lags so much and it makes me end up dying!
",1
"this game on my sony phone is completely laggy and i hate it, if it wasnt so addictive i would've uninstalled it already
",1
"very good but better will be if the game has more than one temple and artefacts or idols to steal and different monsters to run from
",1
"on my lg optimus elite it glitches a bunch and if you could put a sensitivity toggle bar in that would be great because i have to turn my phone completely horizontal for it to recognize that i'm turning and leaning which makes for a frustrating game.
",1
"the objective gold miner stuck in the middle but i already reach 500k coins.
",1
"it was a great game until the update, i updated and now i have to turn my tablet and it almost turns in a 180 degree angle.
",1
"temple run 2 does not download.
",1
"never saves data and freezes when u die
",1
"ran okay before the last update now it's just unplayable i guess temple run wasn't meant for adreno 205 ; (
",1
"i like it but sometimes the is slow
",1
"is such an addictive app and really good but every time i go on it, it has the picture of where i fell off in the last game and doesn't move unless i restart my tablet so fix bugs and will be a five!
",1
"but add sensitivity controls like temple run 1 please?
",1
"poor because on my tablet the screen does not tilt.
",1
"more characters please.
",1
"it is a good game but it takes a lot of time to instal on my tab plz fix it t s very irritating to wait for such a long time
",1
"cannot tilt on my galaxy note.
",1
"at kevel three there are lots of glithcing problems and it always force closes.
",1
"i've reached over 500.000 lifetime coins, but the objective gold miner didn't unlock.
",1
"it again n again say error downloading pls help.
",1
"i love this game but when i download this to my phone it says package file invalid.
",1
"glitches in parts and not as responsive as railcrash
",1
"great game until level 3, my galaxy s starts glitching up badly and freezes.
",1
"because i'm playing on a tablet whenever i tap to jump it goose into google now.
",1
"will give 5 stars if the bug in the quest where in you need to have a 500, 000 lifetime coins.
",1
"my lifetime coins are over that mark but i still have the quest and doesn't make me do another quest in exchange of it.
",1
"i'm unable to magnetic power in attributes.
",1
"it keeps sending me 498 error messages.
",1
"it still has a little lag, at least with my razr.
",1
"when i turn it glitches and flings me off the side or i land on the other side and i fall through the ground after it freezes for a second.
",1
"and when i'm running it has the slightest 'jump' to it and with this game, that can ruin your run.
",1
"i would give more stars but toy can't adjust the sensitivity, witch is a big down fall.
",1
"ratingfive i rated this game a 5 because it is a cool and exciting game the only problem i'm having with this game is once i download it i can play it for as long as i want as long as i don't exit or close the game when i do close it i can't get it to open again it only takes me to the first screen the one that says imangi studios then it automaticatly takes me back to the previous screen i was on for example if i'm on the menu screen of my phone i go back to it can u please fix that or tell me what it could be
",1
"its a great game but skips up on my samsung galaxy
",1
"can u add new feature for submit score on internet for world wide users.
",1
"game wont start now!
",1
"doesn't start please fix!
",1
"why is the objective ""gold miner"" not responding even after i have already completed it?
",1
"i have issues with the save me option.
",1
"i have 10 gems but still am able to resurrect only 4 times.
",1
"just wish it didn't take up so much space on my phone
",1
"but the previous update to restore coin doubles reset my stats and because of that i lost my coin purchases and gems they i previously had.
",1
"i will be happy to change to 5 stars when i am able to update.
",1
"i love these game and the only problem i've had is tht it usually lags and so it's hard to get a high score please fix and will rate 5 stars (sony ericsson expedia play)
",1
"i can't open temple run it force closes its self!
",1
"it constantly loses your gems.
",1
"i bought a gem pack, used half and the rest just disappeared.
",1
"my game keeps jumping every time a turn with is messing me up not to mention i jump or turn and the game doesn't respond.
",1
"also i recently bought a coin package from the store and never received my product! this needs to be fixed i like this game but i didn't give you a $20 donation.
",1
"cool game but it takes 2 long downloading
",1
"hard and exciting game, its so fun but lags.
",1
"the new temple run is awesome except i played for a while and know i can't jump please fix:-)
",1
"when it updated automatically on my phone, all of my progress was lost.
",1
"the game is good but sometimes it will crash and freeze and then i have to remove the battery to turn it off because i can't do anything other than that it's great
",1
"coins get reset after couple games/doesn't save
",1
"gets crashing on my htc plz fix
",1
"overall way better except that on my phone after every run it resets the amount of coins i collect, don't know if this is intentional but would be better if it would reset every turn.
",1
"my only real complaint is that it sometimes fcs after a really long run, and my progress doesn't get saved.
",1
"dont work on htc desire uninstall
",1
"spent my $10 3 hours ago and haven't received any coins
",1
"won't open for samsung infuse !
",1
"i would five stars however i loved this game so much that i bought a gem pack to enjoy the game better, five days later i still dont have them!
",1
"game won't update on an achievement.
",1
"goes to  first screen and then force closes
",1
"however since last update the sensitivity of it has slowed down.
",1
"also a glitch with 500k coins getting stuck.
",1
"amazing game it sometimes freezes but its really cool
",1
"it doesn't work for samsung infuse.
",1
"it crashes while loading game.
",1
"it wont even load to home  screen on the game.
",1
"sometimes laggish for android
",1
"i want to play the game  but it force closes automatically
",1
"worst game ever it doesn't even work it just freezes on the home screen page.
",1
"only had small issues with game freezing my phone but after uninstall and reinstall it works fine
",1
"several times all of my coins went away for no reason, not sure if its a glitch or them trying to make you buy coins.
",1
"it opens up and stays on the same screen and freezes up my phone.
",1
"good game but controlling movements is not correct
",1
"doesn't work on my lg thrill.
",1
"forces closes as opening screene
",1
"i can not get it to plat on my device (samsung infuse) when i install it and try to open it goes to the scree with the green i on it than vibrates once than twice and them closes out can someone help me and explain why its not working
",1
"not entirely happy, i love the game, best out there, but you save your coins, then you end up with nothing, i had like 7,000 then it just wiped it -.-
",1
"why do the coins continually disappear kept thinking we were accidentally buying things but they were just gone from our totals.
",1
