Length,Ratings,Review,Relevant
lentwelve,ratingone,"i hate that i cant change my cover photo on the app...
",info
lentwentytwo,ratingone,"i have to go to the web for that and i cant organize my photos in certain albums only in the web!
",info
lenseventeen,ratingone,"i also can't change who views my information and stuff on my wall only in web...
",info
lensix,ratingone,"this version crashes all the time.
",info
lenfive,ratingfour,"it's slow little bit.
",info
lenfour,ratingtwo,"sd card storage need
",info
lennine,ratingone,"it doesn't notify me of close friends updates.
",info
lenthirteen,ratingone,"i can't post any comments or status updates from my motorola razr
",info
lenseven,ratingone,"the app is slow and always hangs ...
",info
lenseven,ratingthree,"it take a lot time in loading.
",info
lensix,ratingthree,"some times error in posting comment.
",info
leneleven,ratingthree,"not able to download any pictures please fix these bugs immediately
",info
lenseven,ratingone,"this most recent update is extremely slow.
",info
lensixteen,ratingone,"have to click on photo to view and ur lucky if it doesn't take 5 minutes.
",info
lenthree,ratingone,"pages freeze often.
",info
lenseventeen,ratingone,"i have to type my posts twice it keeps telling me ""post is null try again later""..
",info
lensix,ratingfour,"still having problems uploading sometimes, though.
",info
lenfive,ratingthree,"takes forever time to reload..
",info
lentwenty,ratingone,"it wont load any of my notifications when i click on them, pictures wont load, and my newsfeed wont refresh.
",info
lenten,ratingone,"it does t even tell me there's an error.
",info
lenseventeen,ratingthree,"it is the only way i can get the pictures people post to reappear on the timeline..
",info
lenfourteen,ratingone,"i'm scared of updating it but it's going slow wish me luck :/
",info
lenfifteen,ratingtwo,"was #1 battery user on my s3 even though i hadn't run the app in 3 days
",info
lenseven,ratingtwo,"performance is improved but kills battery fast.
",info
lenfifteen,ratingone,"everytime i go on to look at picture nothing shows up, just a grey picture...
",info
leneleven,ratingone,"now it is pointless cant see anything not even e cards...
",info
lenseventeen,ratingone,"the only pictures i can see are the mini profile pics beside there names on their statuses...
",info
lentwelve,ratingone,"a lot of errors, i can't see pictures fix it please!!
",info
lenthree,ratingone,"never updates statuses..
",info
lenfive,ratingone,"won't upload any pictures!
",info
lensix,ratingone,"friend finder needs to go wtf!
",info
lenten,ratingone,"i can't even get the app to open anymore.
",info
lenfourteen,ratingthree,"pls it was high time we got a good facebook app optimized for tabs.
",info
lenfourteen,ratingthree,"the current fb app is not good at all for tabs with big screen.
",info
lentwentytwo,ratingthree,"the problem is with the way items display,pics are small,large empty space e.t.c the display generally not attractive.
",info
leneight,ratingthree,"slow as hell but i guess its alright!
",info
lennine,ratingtwo,"notifications still suck, and doesn't show updates properly.
",info
lenseven,ratingtwo,"not to mention it force closes often...
",info
lensix,ratingone,"this app is always so slow.
",info
leneighteen,ratingone,"also every time i open it asks me if i want to search my email to find friends.
",info
lenthirtyfive,ratingthree,"its okay except that when i scroll down and read statuses or posts it'll update and refresh but once it loads ten or more posts i can't keep scrolling down or like anything
",info
lenfour,ratingone,"i cant even login
",info
lensix,ratingthree,"now i cannot view any photos.
",info
leneleven,ratingfour,"unable to change cover photo no option is available for this....
",info
lennine,ratingfour,"and also no option available for deleting a comment
",info
lenten,ratingone,"network error, network error, alk the time on feeds page...
",info
lenfour,ratingone,"cant see any pics..
",info
lenthirteen,ratingone,"loading takes time even on 3g con it totaly sucks plz fix it asap!!!!!
",info
lentwentythree,ratingone,"i don't like the fact that im forced to view my friends posts as top stories when i much rather recent stories.
",info
lensixteen,ratingtwo,"it won't let me delete comments made by others that i would lik to delete.
",info
lenfive,ratingone,"i cannot update my status.
",info
lenfive,ratingthree,"occupies a lot of space
",info
lentwentyone,ratingone,"it told me that it needed an update before i continued using it and now it won't load any pictures :(
",info
lenfifteen,ratingthree,"what's with the 13mb just for facebook, your just making the app slower and slower.
",info
lenfour,ratingthree,"dosent load pics now
",info
lennine,ratingthree,"doesn't let me log in all the time.
",info
lenfour,ratingthree,"takes forever to load.
",info
leneight,ratingthree,"doesn't show new notifications all the time.
",info
lentwenty,ratingthree,"why the hell can anyone access my android facebook account just by simply tapping on the ""sign up for facebook""
",info
lensix,ratingthree,"what the hell happened to privacy ???
",info
lennine,ratingone,"said package was invalid  when i tried to download
",info
lenfifteen,ratingone,"you can't even delete comments you would like to remove off your own wall !!!!
",info
lenseven,ratingthree,"poor in connectivity, very high memory usage.
",info
lenthree,ratingtwo,"slow and unresponsive.
",info
leneighteen,ratingone,"i can't n haven't been able to to post or check anything for a long time!!!
",info
