Review,Relevant
"And I want swift key to save the words I type.
",1
"I think it could do with a bit more customization...
",1
"And a few more settings for example, after I insert specific types of punctuation it sometimes put a space after..It would be good to be able to turn that off.
",1
"Also another good one is being able to make the space bar bigger by removing the smiley key on the bottom right making the keyboard bigger.
",1
"I really would like to see Chinese language integration to be developed.
",1
"Very annoying to switch with other input methods.
",1
"Does not work with S-Pen on Galaxy Note 2
",1
"I love the keyboards and what not it looks so awesome but just need some more themes to choose from or more customization choices.
",1
"Last time it was smileys/predictions without spaces messing up other languages than english.
",1
"Used to work perfect but after i had accidentally deleted it, can't get it to work again after reinstall.
",1
"It WAS awesome until the layout was changed.
",1
"It may work for large displays but NOT phones with cases on them!
",1
"I hate the new slide punctuation bar!
",1
"Bring smaller space bar back!
",1
"You need to add something to allow us to edit the prediction word database. This way, we can manually erase unwanted crap, periods & commas!!!
",1
"When your in messages and lock the screen, once you turn it back on the suggestions are gone and you have to close and re open SwiftKey.
",1
"Everytime I turn my phone off or restart it it goes back to default keyboard and I have to keep activating this one...
",1
"Great app but without emoji support its only sub par
",1
"Im not fond of the fact, i have to constantly switch to go keyboard for Chinese either,  over rated.
",1
"Wish I could customize the layout, then I would give 5 stars.
",1
