Review,Relevant,id,embedding,cluster
"I really would like to see Chinese language integration to be developed.
",1,4,"[0.24778594076633453, -0.15718910098075867, 0.2801113724708557, 0.25568416714668274, -0.14081327617168427, -0.037047285586595535, -0.017895622178912163, -0.2864784598350525, 0.05505123361945152, -0.08579738438129425, -0.09469766914844513, -0.1498769372701645, -0.08822353929281235, 0.09738314896821976, -0.02464691922068596, -0.03065788373351097, 0.05545876920223236, 0.07434292882680893, 0.014726836234331131, -0.07636797428131104, 0.07000213861465454, 0.04108234494924545, 0.08729888498783112, 0.09473124891519547, 0.02378045581281185, -0.04800795763731003, 0.06786119937896729, 0.02300439402461052, -0.015235016122460365, 0.0812765434384346, 0.05493348464369774, 0.0805136039853096, 0.008325197733938694, -0.05591336265206337, 0.05690416321158409, -0.004342387896031141, 0.0672174021601677, -0.04549351707100868, -0.08526831865310669, -0.010183829814195633, -0.0018199067562818527, -0.06125638633966446, 0.007038070820271969, 0.06781680881977081, 0.006570297293365002, 0.030548186972737312, 0.026298854500055313, 0.02517549879848957, -0.018058620393276215, 0.02300548553466797]",1
"Im not fond of the fact, i have to constantly switch to go keyboard for Chinese either,  over rated.
",1,18,"[-0.02097395993769169, 0.002191652776673436, 0.3084662854671478, 0.11481641978025436, -0.07667067646980286, -0.07483217865228653, 0.01352396234869957, -0.2026423066854477, 0.039494290947914124, -0.024453766644001007, 0.007243854459375143, -0.18411768972873688, -0.1143871396780014, -0.0806652083992958, 0.009291952475905418, -0.12256687134504318, 0.007273142691701651, -0.007991504855453968, 0.04381084069609642, 0.10136031359434128, 0.17350435256958008, 0.0008088064496405423, -0.0444098636507988, -0.025695139542222023, -0.055442214012145996, 0.005766298621892929, 0.04158369451761246, 0.04954139143228531, 0.01789570413529873, 0.06574582308530807, -0.09875048696994781, -0.010273836553096771, -0.10698097944259644, -0.0490117184817791, 0.04810115322470665, 0.023810001090168953, -0.04719692841172218, -0.04401371628046036, 0.015002595260739326, -0.00791300181299448, 0.00018715058104135096, -0.014360912144184113, -0.011389823630452156, 0.03321158513426781, -0.019946055486798286, 0.009564454667270184, 0.015032824128866196, -0.01649017073214054, -0.03684910386800766, 0.054320115596055984]",1
"If this language/font were to be added, SwiftKey would win the award for best Android app.
",1,32,"[0.053296033293008804, 0.01601882092654705, 0.26784154772758484, 0.1200898066163063, 0.221625417470932, -0.049393732100725174, -0.12644396722316742, -0.025708336383104324, -0.059851810336112976, -0.0778031051158905, -0.05076714605093002, -0.08864673972129822, 0.005473792552947998, 0.010387792252004147, -0.012052860110998154, 0.004276304505765438, -0.045117221772670746, 0.024220235645771027, -0.15030407905578613, 0.001546400599181652, -0.07020016759634018, 0.035343870520591736, -0.07319967448711395, 0.003911178093403578, 0.021913135424256325, 0.004407346248626709, -0.03529394790530205, -0.07178609073162079, -0.050164226442575455, 0.008159210905432701, -0.00862245075404644, 0.07453490793704987, 0.07976492494344711, -0.008526730351150036, -0.029201487079262733, -0.06337477266788483, -0.0172738004475832, -0.008695161901414394, 0.00944589078426361, 0.015043393708765507, 0.07440472394227982, 0.0031987514812499285, -0.024276122450828552, 0.007924278266727924, 0.04102476313710213, 0.0012229828862473369, -0.01842312328517437, 0.03157789260149002, -0.05986018851399422, -0.014982325956225395]",1
"I just need Chinese!!!
",1,41,"[0.2602689266204834, -0.09400880336761475, 0.2624324858188629, 0.27281638979911804, -0.1777273416519165, -0.07243324816226959, -0.027127092704176903, -0.2154999077320099, 0.14038898050785065, 0.15789927542209625, 0.0011333901202306151, -0.11984997987747192, 0.03984500467777252, 0.15139314532279968, 0.09922334551811218, -0.038070861250162125, 0.1311318278312683, 0.052471939474344254, 0.07725898176431656, 0.08031343668699265, 0.030902566388249397, 0.015115749090909958, 0.016952522099018097, 0.11395558714866638, 0.044524919241666794, 0.02569945529103279, 0.03174050152301788, 0.09291331470012665, 0.07245209813117981, 0.0031924729701131582, -0.08974745869636536, 0.06419782340526581, 0.012871883809566498, -0.06880425661802292, 0.0506160669028759, 0.026727763935923576, 0.009998155757784843, -0.027777263894677162, -0.018998168408870697, -0.03444065898656845, -0.11251483112573624, -0.032315295189619064, -0.006853906903415918, 0.01956411637365818, -0.007569919340312481, 0.003918601665645838, 0.06340373307466507, -0.04159574583172798, -0.009930829517543316, -0.0035109708551317453]",1
"Otherwise it's such a pain to switch keyboards just to type one Chinese character!
",1,42,"[-0.036682188510894775, 0.014509554952383041, 0.3409262001514435, 0.09765302389860153, -0.11728474497795105, -0.061997417360544205, -0.02889108471572399, -0.11703628301620483, 0.11056724190711975, 0.0029175926465541124, -0.04791174829006195, -0.26697367429733276, -0.07227781414985657, -0.009025459177792072, 0.05285782739520073, -0.11802160739898682, -0.01346463430672884, -0.09561830013990402, 0.0667235255241394, -0.0034491405822336674, 0.07524498552083969, -0.011244460940361023, -0.02961559221148491, 0.08127067238092422, 0.0032454468309879303, -0.0489586740732193, 0.07828368991613388, 0.013312115333974361, -0.018599404022097588, -0.008714097552001476, -0.062173519283533096, 0.0783095732331276, -0.08555236458778381, -0.05293823406100273, -0.0013166401768103242, -0.0365363247692585, 0.012817839160561562, -0.03472699224948883, 0.0322190597653389, -0.061670560389757156, 0.04995318874716759, 0.04464336484670639, -0.04547623544931412, 0.022691242396831512, -0.01607092283666134, -0.02390907146036625, -0.0150367496535182, -0.01636042259633541, 0.048194900155067444, -0.013893750496208668]",1
"I hope that swiftKeys will implement chinese typing too.
",1,170,"[0.0912589430809021, -0.030491754412651062, 0.3513508141040802, 0.1468001753091812, 0.003047136589884758, -0.011800042353570461, -0.13683906197547913, -0.21978682279586792, 0.02648482285439968, -0.08414115011692047, -0.0856974869966507, -0.2063681036233902, -0.03338287025690079, 0.11271553486585617, -0.02996841073036194, -0.10863177478313446, 0.028311103582382202, 0.01839890331029892, -0.011098827235400677, -0.011901685036718845, 0.02318897657096386, 0.05662858858704567, 0.05087611824274063, 0.006725645158439875, 0.0962739959359169, -0.04188629984855652, 0.020655237138271332, 0.006891161203384399, -0.017649654299020767, 0.017804313451051712, -0.005981079768389463, 0.10080152750015259, -0.02693774923682213, -0.03850859776139259, 0.005519104655832052, -0.007521811872720718, 0.006473156623542309, -0.030879182741045952, 0.017035121098160744, -0.014086180366575718, 0.04188761115074158, -0.041541505604982376, -0.03164543956518173, 0.04934804141521454, 0.012299914844334126, -0.016199978068470955, -0.007970278151333332, 0.02972465753555298, 0.019772933796048164, 0.022063184529542923]",1
"I would give it a 5 if i support chinese as well.
",1,243,"[0.24686598777770996, -0.045123349875211716, 0.20469875633716583, 0.2112330049276352, -0.14598366618156433, -0.03338130936026573, 0.14363986253738403, -0.23093855381011963, 0.0749632939696312, 0.0069574760273098946, -0.1274651288986206, -0.21676301956176758, -0.018507961183786392, 0.027049850672483444, -0.12148698419332504, -0.09617525339126587, 0.03413517773151398, 0.037660591304302216, 0.08325803279876709, -0.15121403336524963, 0.004333872348070145, -0.07936982065439224, 0.03841455280780792, -0.03292371332645416, -0.11407028883695602, -0.005571262910962105, 0.008412753231823444, -0.009321730583906174, 0.028067277744412422, 0.07446622103452682, -0.11546798795461655, 0.023543333634734154, 0.020726822316646576, -0.020479237660765648, 0.052015822380781174, -0.010643637739121914, 0.012764054350554943, 0.004952459596097469, 0.030378393828868866, 0.05687098950147629, -0.015472812578082085, 0.007208636961877346, -0.023219654336571693, 0.005210417322814465, -0.005047229118645191, 0.03202404826879501, -0.01726403832435608, 0.046658895909786224, -0.03170757368206978, 0.008046139031648636]",1
"I do wish it supported Japanese characters, but otherwise it's perfect.
",1,269,"[0.2184460163116455, 0.00786894652992487, 0.28034508228302, 0.07512451708316803, 0.03832133486866951, -0.10199497640132904, 0.22734025120735168, -0.11548525094985962, 0.057204317301511765, -0.10716718435287476, 0.05640223249793053, -0.14954642951488495, 0.07247007638216019, 0.002353987190872431, -0.021900027990341187, -0.03974362090229988, 0.10831142216920853, -0.028097406029701233, 0.0013321564765647054, -0.1066369116306305, 0.006203309632837772, -0.06265079975128174, 0.05901365354657173, -0.056685227900743484, 0.08904764801263809, 0.020325088873505592, -0.05391580983996391, 0.08675743639469147, -0.08103171736001968, 0.01018430944532156, -0.0014416957274079323, -0.09652982652187347, 0.0142462607473135, 0.05740930885076523, -0.009538119658827782, 0.0162943247705698, -0.0649796649813652, -0.01914215460419655, 0.055682823061943054, 0.03319797292351723, 0.04071458429098129, 0.05728483200073242, -0.00899976585060358, 0.05720250681042671, -0.023963142186403275, -0.0321168452501297, -0.02267676405608654, -0.0005182065069675446, 0.01234279666095972, -0.01789688691496849]",1
"I love this apps,  it's a good keyboard app but i strongly request for the Chinese input cause ii use it a lot.
",1,345,"[-0.04335543513298035, -0.005185658112168312, 0.22989600896835327, 0.2041778862476349, 0.19114133715629578, 0.023483481258153915, 0.0009647379629313946, -0.13666096329689026, -0.023791005834937096, 0.055353712290525436, -0.0011782791698351502, -0.24689120054244995, -0.08214228600263596, 0.009840800426900387, 0.03959822654724121, -0.007893419824540615, -0.019608646631240845, 0.028503578156232834, 0.03774087503552437, -0.03805587813258171, 0.12405922263860703, -0.01297652255743742, 0.012082114815711975, 0.02400386333465576, -0.04216202348470688, -0.09022539854049683, 0.07837893068790436, 0.03289082273840904, -0.014964104630053043, 0.027359992265701294, 0.007746515795588493, 0.00016052073624450713, -0.0984799936413765, -0.03236553072929382, 0.00809691846370697, 0.04417456313967705, 0.0021066474728286266, -0.029555803164839745, 0.024760430678725243, 0.0032790282275527716, -0.008199297823011875, 0.00288219191133976, 0.07946234941482544, 0.05074125528335571, -0.029003841802477837, 0.005065263714641333, 0.01376541331410408, 0.002134410897269845, -0.022638440132141113, 0.022804709151387215]",1
"Waiting for chinese support, it's amazing to try this kind of input.
",1,348,"[0.09156231582164764, -0.17407657206058502, 0.20429746806621552, 0.3492370545864105, -0.2423255294561386, 0.0923905074596405, -0.12062746286392212, -0.13722924888134003, 0.14048919081687927, 0.07075124233961105, -0.12903660535812378, -0.15552178025245667, -0.14959770441055298, 0.03298822417855263, 0.0075248368084430695, -0.07343807071447372, 0.02588002011179924, -0.01877087727189064, 0.20362965762615204, -0.054162122309207916, 0.09169374406337738, -0.0418061763048172, 0.19167330861091614, -0.08746965229511261, 0.056839145720005035, -0.01452662330120802, 0.01939808391034603, 0.01385754719376564, -0.0063999914564192295, 0.005525968968868256, -0.052309099584817886, 0.08738134801387787, -0.07529962062835693, -0.02005220204591751, -0.02093471959233284, -0.043038997799158096, 0.06859889626502991, 0.11624789983034134, 0.02394353225827217, 0.010484120808541775, -0.025431834161281586, -0.0005886669969186187, -0.013049285858869553, 0.05819149687886238, 0.056893493980169296, 0.05915377661585808, -0.02110452577471733, -0.048549503087997437, 0.034501124173402786, -0.0413130484521389]",1
