Review,Relevant,id,embedding,cluster,membership_cluster_0,membership_cluster_1,membership_cluster_2,membership_cluster_3,membership_cluster_4,membership_cluster_5,membership_cluster_6,membership_cluster_7,membership_cluster_8,membership_cluster_9,membership_cluster_10
"I love the keyboards and what not it looks so awesome but just need some more themes to choose from or more customization choices.
",1,7,"[0.36767134326970113, 0.36865149906019107]",9,0.003255689291361901,0.0025244341731323126,0.012404227095232688,0.00084991791297986,0.004514516319795244,0.01033596992523426,0.0017989615657596169,0.0014710642176999984,0.0015237630794204932,0.9448711344112463,0.016450322008137515
"I would like it if there were emoticon add ons for this keyboard like there are some of the other ones though...
",1,74,"[0.17454712985424378, 0.2655129134997317]",9,0.0047411941395099095,0.0038098260849063178,0.07289279909053333,0.0006463187329418852,0.00727414775147775,0.010951529269971456,0.0019012139004785592,0.0010481993991105604,0.001691562279373672,0.8926544166548442,0.0023887926968524384
"I would really like to see more customization like more keyboard clolors and maybe some emoj that's different from iPhone.
",1,108,"[0.29873002956239614, 0.17476732589403796]",9,0.002093669906099626,0.002383327457288686,0.016915426186496624,0.0009984198192335594,0.010221046824851641,0.060723075986063926,0.002623395893598504,0.002355892191093623,0.0017565618389104945,0.8760226249329649,0.023906558963398477
"This keyboard is good but it really needs more theme.
",1,109,"[0.3115146965653389, 0.3793355431378309]",9,0.0022606838485350173,0.001616946685977403,0.009238899637368254,0.000450811980888894,0.002583359885212739,0.005129638869669328,0.000997528680309339,0.0007385312849116399,0.000883362263204642,0.9708243752732456,0.005275861590676964
"Wish for more keyboard themes to come.
",1,142,"[0.4164827102161177, 0.3439929712092443]",9,0.004717191796205223,0.003946256621293182,0.017418821176310054,0.00156798154858672,0.007893875455696135,0.02069106766055487,0.003208387985793935,0.002875832768980744,0.0026002090686695492,0.8830594329845003,0.052020942933409316
"But can we have more themes for the keyboard =)
",1,160,"[0.44585685224980004, 0.3434525763764986]",9,0.00662467204226895,0.0056465170461540495,0.02310347946346643,0.002410116276879969,0.011436510646214284,0.030578564825944454,0.004796169268059366,0.004470979897305279,0.0038493908423222105,0.8086889142553326,0.09839468543605245
"Anyway I couldn't thank SwiftKey any better for such an amazing keyboard, just wish that they will come out with better features and personalization along with new themes!
",1,175,"[0.1753752014992803, 0.3762570686510124]",9,0.01578029076407901,0.008680175883859225,0.0812767066128042,0.0013760092466240008,0.00941922220073524,0.011859500162019315,0.0034244444810001646,0.0019328528052635608,0.003470386901596551,0.8576539846444281,0.005126426297590617
"I was hoping to have a good heart symbol with the key board because that's something a girl uses a lot for commenting on photos and stuff like that if added, and I would be much happier with the application and rate it a five stars but, there are not a lot of color choices for your keyboard......
",1,247,"[0.2056147215291195, 0.2524470982427358]",9,0.0009722530827047908,0.0008535237594036755,0.012483162300845818,0.00017979366664655906,0.002004423691502157,0.003971493725310767,0.0005159792125254114,0.00031550337240453805,0.00042972668783689623,0.9773150924946811,0.000959048006138327
"The functional keys in the bottom: shift, enter, backspace etc. come in a certain color with every theme. I would like this color to be fully customisable to make it fit my phone's theme better.
",1,248,"[0.14537330997841827, 0.23203235908197212]",9,0.013325852612723812,0.012175152227409497,0.3982387785997951,0.001808381361575448,0.02657474756023846,0.033236828503796535,0.00590712397541208,0.0029248234220070122,0.005203378117066898,0.4960690481676161,0.004535885452359016
"Needs better emotes and I thinks that's it except maybe custom keyboards.
",1,255,"[0.19019722315225088, 0.1991733850532987]",9,0.006037738134219656,0.006555881008622365,0.1159233176975316,0.0014817018593233585,0.02332501341640954,0.05287796514317988,0.004742478890904151,0.0028318351786323606,0.0036132515661192292,0.7763239402359865,0.006286876869071272
