Length,Ratings,Review,Relevant
leneleven,ratingfour,"And I want swift key to save the words I type.
",info
lenten,ratingfive,"I think it could do with a bit more customization...
",info
lenthirtyone,ratingfive,"And a few more settings for example, after I insert specific types of punctuation it sometimes put a space after..It would be good to be able to turn that off.
",info
lentwentysix,ratingfive,"Also another good one is being able to make the space bar bigger by removing the smiley key on the bottom right making the keyboard bigger.
",info
lentwelve,ratingfour,"I really would like to see Chinese language integration to be developed.
",info
leneight,ratingfour,"Very annoying to switch with other input methods.
",info
lennine,ratingone,"Does not work with S-Pen on Galaxy Note 2
",info
lentwentyfour,ratingfive,"I love the keyboards and what not it looks so awesome but just need some more themes to choose from or more customization choices.
",info
lenfourteen,ratingfive,"Last time it was smileys/predictions without spaces messing up other languages than english.
",info
lentwenty,ratingfive,"Used to work perfect but after i had accidentally deleted it, can't get it to work again after reinstall.
",info
leneight,ratingone,"It WAS awesome until the layout was changed.
",info
lenthirteen,ratingone,"It may work for large displays but NOT phones with cases on them!
",info
lenseven,ratingone,"I hate the new slide punctuation bar!
",info
lenfive,ratingone,"Bring smaller space bar back!
",info
lentwentyfour,ratingone,"You need to add something to allow us to edit the prediction word database. This way, we can manually erase unwanted crap, periods & commas!!!
",info
lentwentyseven,ratingthree,"When your in messages and lock the screen, once you turn it back on the suggestions are gone and you have to close and re open SwiftKey.
",info
lentwentythree,ratingone,"Everytime I turn my phone off or restart it it goes back to default keyboard and I have to keep activating this one...
",info
lenten,ratingthree,"Great app but without emoji support its only sub par
",info
lennineteen,ratingthree,"Im not fond of the fact, i have to constantly switch to go keyboard for Chinese either,  over rated.
",info
leneleven,ratingfour,"Wish I could customize the layout, then I would give 5 stars.
",info
leneleven,ratingfour,"Awesome keyboard just lags with Google takes forever to show up.
",info
lenfourteen,ratingfour,"I like how you did pumpkin for Halloween can we get a Christmas theme.
",info
lensix,ratingfour,"Because of missing of Macedonian language!
",info
lentwentytwo,ratingthree,"Ever since the jellybean update,  you have to exit the messaging application and open it up again for word prediction to work..
",info
lentwelve,ratingthree,"I also don't like that you can't use swear words.
",info
lentwelve,ratingthree,"I'm 23, please let me use what words I want to use.
",info
lentwelve,ratingone,"I am tired of this fueling keyboard refusing to use swear words.
",info
leneight,ratingfour,"Swiftkey's has limited 3 words predicted for selection.
",info
leneighteen,ratingthree,"I find it terribly annoying that now the prediction bar, and corrections don't work 50% of the time.
",info
lenthirteen,ratingthree,"I have to close the keyboard and then reopen for this to work.
",info
lenthirteen,ratingthree,"Also, I should be able to delete typos that have been presumed predictions.
",info
leneight,ratingfour,"It is missing one thing, however. Emoji support.
",info
lenseventeen,ratingfour,"If this language/font were to be added, SwiftKey would win the award for best Android app.
",info
lenfourteen,ratingfive,"After having the language constantly failing to download, and now not downloading at all.
",info
lenfifteen,ratingfive,"But very glitchy on Google chrome, keeps typing previous word when pressing the backspace key...
",info
leneight,ratingfour,"Only problem i have is the exclamation mark.
",info
lenfifteen,ratingfour,"Very very poor set up,  it almost never works when you swipe the multi button.
",info
leneleven,ratingfour,"Always puts a period or a comma, never an exclamation mark.
",info
lentwelve,ratingone,"Until I updated to Jelly Bean, I would give this app 5 stars.
",info
lentwentyfive,ratingone,"However, following the update on my S3 to Jelly Bean, it now reverts to the Samsung keyboard as the default every time I restart the phone.
",info
lentwentyseven,ratingone,"From my understanding, it is an issue the developers are aware of and have stated that we all need to wait until Jelly Bean is updated to 4.1.2.
",info
lenfour,ratingfour,"I just need Chinese!!!
",info
lenfifteen,ratingfour,"Otherwise it's such a pain to switch keyboards just to type one Chinese character!
",info
