Review,Relevant
"great game, but too many repetitive bubble tip pop-ups.
",1
"give more fish bucks and lower prices, but it was awsome
",1
"i hate that after i get a new phone i have to start the whole game over.
",1
"wish breeding was quicker but looooooooove the app anyways!!!
",1
"love this game but it lags on my phone
",1
"like but freezes phone alot new event frozen on training so can't complete a little disappointing, and wish could use coins instead of game dollars to revive fish.
",1
"it made me continuously click a frog in a bubble, then froze up on me, so i deleted it.
",1
"why is algae reappearing in certain tanks immediately after cleaning....
",1
"i just wish it was easier to earn fish bucks
",1
"forcing me to update is pretty rude.....
",1
"i was on level 36 and now i update and lose everything all because you decide to force me to update to a flawed version, thank you for ruining this game!!!!!
",1
"wish there was a faster way though to get more fishbucks.
",1
"give more fish bucks and lower prices, but it was awsome
",1
"it's a great game very relaxing for me an keeps me busy so i never get bored,one thing needs fixin,ukeep same game even if switchin phone.
",1
"i did not receive the two frogs for breeding.
",1
"please give me my  frog so i can breed them.
",1
"wish could get fish bux easier
",1
"only one thing to make it better, a sign in. so when you get a new phone you don't have to start from scratch.
",1
"wish best decorations were available with coins instead of bucks.
",1
"wish i could earn bucks instead of buying them.
",1
"cost of best fish too high.
",1
"did not get my fishbucks when i download game also played the froggy event and did not get breedable frog to breed
",1
"would someone like to explain why the frog challenge just ended a day early?
",1
"wish there were faster growing fish and that there were minigames to play to kill time
",1
"the only thing i wish is that if you can turn coins into fish bucks.
",1
"like 10,000 coins could get you 2 fish bucks and 20,000 coins could get you 5 or 6.
",1
"should be able to earn cash other ways than ads
",1
"love this game but is so hard 2 earn fish bucks
",1
"but maybe have the option of buying fish bucks with the coins, something to get more and faster.
",1
"didn't get my $22 fish bucks for downloading ship wrecked!!
",1
"this game can be very fun but it takes up so i much of your time taking care of the fish!
",1
"if you don't feed them for a day all the fish die, it sucked when i went on vacation and lost all my fish!
",1
"ripped off    75 bucks...
",1
"beware of this app,   when  a fish burp's  good bye to your fish bucks.
",1
"get your missing, lost or stolen fish bucks back.
",1
