,Review,Relevant,prediction_score,binary_prediction
0,"it take a lot time in loading.
",1,0.5825381,1
1,"have to click on photo to view and ur lucky if it doesn't take 5 minutes.
",1,0.40212873,0
2,"still having problems uploading sometimes, though.
",1,0.5888995,1
3,"it is the only way i can get the pictures people post to reappear on the timeline..
",1,0.5038856,1
4,"the only pictures i can see are the mini profile pics beside there names on their statuses...
",1,0.44118404,0
5,"friend finder needs to go wtf!
",1,0.4230248,0
6,"i cant even login
",1,0.4202482,0
7,"occupies a lot of space
",1,0.57808006,1
8,"what the hell happened to privacy ???
",1,0.5511945,1
9,"logged out and now i can't log back in.
",1,0.49442807,0
10,"i go to look at app data and find out it was using 204mb of cache?!
",1,0.4435761,0
11,"lags phone
",1,0.53075534,1
12,"well see they still haven't sorted the loading to this app...
",1,0.46429083,0
13,"i cant download any pic from here...
",1,0.5986331,1
14,"should include b'days
",1,0.44593832,0
15,"it's slow unless you have wifi...
",1,0.55499774,1
16,"-i can't comment on posts.
",1,0.4506181,0
17,"-network errors.
",1,0.40186664,0
18,"well it use to be no internet connection problems with my samsung galaxy now its picture problems!
",1,0.56087285,1
19,"i can't view pics that i or other people have just uploaded i can see all or some of the older pics including my timeline & profile pics but none of the new ones.
",1,0.5004702,1
20,"i can never upload photos using this app.
",1,0.4212181,0
21,"takes up way too much space.
",1,0.5287398,1
22,"for me to be able to post a status, i need to open a browser..
",1,0.43629095,0
23,"so sick and tired of getting network error messages when at the same time, facebook web works fine!
",1,0.54047424,1
24,"can't post since last update.
",1,0.5303855,1
25,"on my nexus seven tablet, nothing loads.
",1,0.44565505,0
26,"i simply get a network error message.
",1,0.5384652,1
27,"so u have to ask me if i want to use my contacts to find friends multiple times a day.
",1,0.5431058,1
28,"wants access to my 'photos, contacts, their birthdays and so much more!!!
",1,0.506777,1
29,"can't copy text, save puctures, or change my cover picture
",1,0.48935217,0
30,"the worst thing fr such a top developer, so slowwwwswwwwwwwwww
",1,0.4486881,0
31,"loading...loading...loading all the time.
",1,0.5019549,1
32,"stupid network error, htc one 4.1
",1,0.45723367,0
33,"my normally super fast experia x8 now goes at quarter speed since installing this app.
",1,0.5841982,1
34,"i don't even start the app and its running in the background
",1,0.44647926,0
