,requirement_id,type,description,based_on_comments
0,FR001,FUNCTIONAL,The system shall handle emoji input in chat without crashing.,7
1,FR002,FUNCTIONAL,The system shall allow users to view photos without requiring app restarts.,"8, 75, 81"
2,FR003,FUNCTIONAL,The system shall correctly update the timeline without requiring manual app restarts.,"63, 67, 101"
3,FR004,FUNCTIONAL,The system shall prevent unintended phone shutdowns triggered by app interactions.,"5, 65, 70"
4,FR005,FUNCTIONAL,The system shall ensure background tasks do not degrade overall phone performance.,"18, 82"
5,FR006,FUNCTIONAL,The system shall retain typed text during app freezes or crashes.,"33, 87"
6,FR007,FUNCTIONAL,The system shall properly handle GPS functionality without persistent locks.,25
7,FR008,FUNCTIONAL,The system shall restore the notification bar and keyboard after app freezes.,78
8,FR009,FUNCTIONAL,The system shall allow users to delete and edit comments.,"112, 116, 123, 136, 140"
9,FR010,FUNCTIONAL,The system shall provide an option to save media to an SD card.,"116, 477"
10,FR011,FUNCTIONAL,The system shall include an exit button to fully close the app.,"127, 147"
11,FR012,FUNCTIONAL,The system shall allow users to change their cover photo and profile picture.,"116, 123"
12,FR013,FUNCTIONAL,"The system shall provide a ""most recent"" sorting option for posts as the default when selected.","116, 205"
13,FR014,FUNCTIONAL,The system shall enable users to close pictures after opening them.,160
14,FR015,FUNCTIONAL,The system shall ensure notifications clear from the home screen after being addressed.,"159, 997"
15,FR016,FUNCTIONAL,The system shall allow users to like and comment on posts regardless of scrolling speed.,158
16,FR017,FUNCTIONAL,The system shall load all comments on posts without requiring additional user interaction.,"180, 202, 206, 220, 234, 239, 250, 253"
17,FR018,FUNCTIONAL,The system shall continuously load new stories as the user scrolls down the news feed.,"182, 190, 200, 204, 207, 212, 244, 251"
18,FR019,FUNCTIONAL,The system shall allow users to view and interact with uploaded pictures in their news feed and profiles.,"187, 192, 195, 199, 203, 215, 216, 224, 253, 254"
19,FR020,FUNCTIONAL,"The system shall provide notifications for user interactions (e.g., likes, comments) reliably.","191, 207, 231, 585, 620, 629, 649"
20,FR021,FUNCTIONAL,The system shall enable users to post status updates and pictures without delays or errors.,"201, 219, 230, 258"
21,FR022,FUNCTIONAL,The system shall optimize the display of images and posts for tablet devices.,"252, 667, 1710, 1713, 1715"
22,FR023,FUNCTIONAL,The system shall correctly detect and validate network connectivity before displaying error messages.,259-361
23,FR024,FUNCTIONAL,The system shall provide clear and actionable error messages for network-related issues.,259-361
24,FR025,FUNCTIONAL,"The system shall maintain functionality for core features (e.g., posting, liking, viewing feeds) even under unstable network conditions.","280, 303, 321, 329, 332, 333, 354, 358"
25,FR026,FUNCTIONAL,The system shall support seamless switching between Wi-Fi and mobile data without requiring app restart.,"272, 299, 305, 318, 330"
26,FR027,FUNCTIONAL,"The system shall provide offline mode capabilities for basic actions (e.g., drafting posts, viewing cached content).","280, 321, 329, 354, 993, 1192, 1260, 1264"
27,FR028,FUNCTIONAL,"The system shall allow users to view all photos in their news feed, including those marked as ""viewable by friends.""",362-451
28,FR029,FUNCTIONAL,"The system shall correctly display the selected photo when a user clicks on it in the news feed, without showing a different photo from the same album.","373, 374, 392, 397, 399, 421, 448, 768, 770, 788, 828"
29,FR030,FUNCTIONAL,The system shall allow users to exclude specific folders from appearing in the photo selection page.,367
30,FR031,FUNCTIONAL,"The system shall support full display of photo captions, including those with more than 2-3 words, without truncation.","417, 445"
31,FR032,FUNCTIONAL,The system shall allow users to choose specific albums when viewing or uploading photos.,"445, 1066, 1070, 1086, 1090, 1140, 1153"
32,FR033,FUNCTIONAL,The system shall provide a single press of the back button to exit from an enlarged photo view.,"418, 419, 432, 439, 449, 1062, 1103"
33,FR034,FUNCTIONAL,The system shall provide an option to adjust font size within the app.,466
34,FR035,FUNCTIONAL,The system shall allow users to opt out of contact syncing permanently.,"497, 537, 541, 544, 547"
35,FR036,FUNCTIONAL,"The system shall provide a toggle to disable ""Find Friends"" prompts permanently.","467, 479, 488, 519, 535, 536, 539, 541, 544, 547"
36,FR037,FUNCTIONAL,"The system shall restore the ""Friends"" button and its functionality.",469
37,FR038,FUNCTIONAL,The system shall allow users to filter friends/pages alphabetically by category.,527
38,FR039,FUNCTIONAL,The system shall provide an option to watch YouTube videos through the YouTube app when linked from Facebook.,518
39,FR040,FUNCTIONAL,The system shall ensure contact sync functionality is available and visible in settings.,"455, 461, 468, 515"
40,FR041,FUNCTIONAL,"The system shall prevent unauthorized access via the ""Sign Up for Facebook"" button.",483
41,FR042,FUNCTIONAL,The system shall ensure games and third-party apps can link with Facebook.,"524, 525"
42,FR043,FUNCTIONAL,The system shall ensure successful login attempts with a 99.9% success rate.,"550, 552, 553, 558, 561, 568, 570, 571, 578"
43,FR044,FUNCTIONAL,"The system shall synchronize user actions (e.g., posts, likes) across mobile and web platforms in real-time.","551, 567, 573"
44,FR045,FUNCTIONAL,"The system shall provide access to all core features (e.g., Pages, Events) without errors.","554, 560, 576"
45,FR046,FUNCTIONAL,The system shall open links within the app instead of redirecting to a browser.,"555, 840"
46,FR047,FUNCTIONAL,The system shall support offline comment drafting with automatic posting upon reconnection.,572
47,FR048,FUNCTIONAL,"The system shall prevent involuntary logout during active sessions (e.g., while typing).",577
48,FR049,FUNCTIONAL,"The system shall persist ""Like"" actions on statuses, photos, and comments without automatic unliking upon refresh or navigation.","579, 589, 590, 592, 604, 622, 628, 640, 641, 642, 660"
49,FR050,FUNCTIONAL,The system shall enable users to navigate to a person's profile directly from their photo or comment.,"581, 593, 623"
50,FR051,FUNCTIONAL,"The system shall ensure the ""Like"" button for photos and statuses is distinct from the ""View Likes/Comments"" button to prevent accidental taps.","606, 617, 1530"
51,FR052,FUNCTIONAL,The system shall allow users to upload photos without mandatory location information.,591
52,FR053,FUNCTIONAL,The system shall provide a visible and accessible comment field even when the keyboard is open.,"597, 598"
53,FR054,FUNCTIONAL,The system shall enable users to reply to comments directly from the comment thread.,"611, 621, 665"
54,FR055,FUNCTIONAL,The system shall allow users to upload photos directly to a specific person's wall.,625
55,FR056,FUNCTIONAL,"The system shall display accurate like counts (e.g., beyond 98) for photos and statuses.","633, 648"
56,FR057,FUNCTIONAL,The system shall include an integrated chat feature.,671
57,FR058,FUNCTIONAL,The system shall provide a functional widget for reduced-size operation.,"672, 708"
58,FR059,FUNCTIONAL,The system shall allow users to disable background syncing to conserve battery.,"702, 739"
59,FR060,FUNCTIONAL,The system shall support HD tablet-optimized layouts.,"667, 1616, 1618"
60,FR061,FUNCTIONAL,The system shall minimize bloatware and focus on core functionality.,755
61,FR062,FUNCTIONAL,The system shall correctly load and display images when selected by the user.,758-846
62,FR063,FUNCTIONAL,The system shall allow users to download images from the app.,"772, 809, 821, 830, 832, 846, 1067, 1069, 1070, 1087, 1123, 1130, 1132, 1152"
63,FR064,FUNCTIONAL,The system shall prevent forced redirections to Instagram when interacting with images.,840
64,FR065,FUNCTIONAL,The system shall handle image loading independently of network type (3G/H/Wi-Fi) without errors.,"799, 802, 816"
65,FR066,FUNCTIONAL,The system shall allow users to manually disable automatic updates.,"864, 873, 884, 907"
66,FR067,FUNCTIONAL,The system shall provide an option to revert to the previous stable version of the app.,"852, 864, 901"
67,FR068,FUNCTIONAL,The system shall ensure the search bar functions correctly and returns results without delays.,"888, 896, 903, 1525"
68,FR069,FUNCTIONAL,The system shall allow users to edit previous posts.,"874, 1574"
69,FR070,FUNCTIONAL,The system shall sync properly with Google services.,860
70,FR071,FUNCTIONAL,The system shall resolve single sign-on (SSO) errors and provide clear troubleshooting steps.,870
71,FR072,FUNCTIONAL,"The system shall ensure all basic features (e.g., loading pages, updating content, displaying notifications) function reliably without crashes or freezes.",915-980
72,FR073,FUNCTIONAL,The system shall implement pre-release testing for updates to minimize post-update bugs and performance degradation.,"927, 938, 960, 973, 975"
73,FR074,FUNCTIONAL,The system shall optimize compatibility with low-range Android devices to ensure stable performance.,"963, 964, 978"
74,FR075,FUNCTIONAL,The system shall improve UI responsiveness for larger screens.,955
75,FR076,FUNCTIONAL,The system shall provide real-time push notifications for messages and updates without requiring the Messenger app.,"990, 1004, 1053"
76,FR077,FUNCTIONAL,The system shall include a dedicated messaging button on all user profile pages.,989
77,FR078,FUNCTIONAL,The system shall allow users to read news feeds offline.,993
78,FR079,FUNCTIONAL,The system shall ensure notifications are clickable and direct users to the correct content.,"1022, 1031, 1583, 1587, 1669, 1728, 1730"
79,FR080,FUNCTIONAL,The system shall provide a manual refresh option for news feeds and notifications.,"1003, 1021, 1049"
80,FR081,FUNCTIONAL,The system shall display all pending notifications upon app launch.,997
81,FR082,FUNCTIONAL,The system shall include a report page button for abusive content.,1043
82,FR083,FUNCTIONAL,The system shall allow users to upload photos from all supported Android devices.,1058-1167
83,FR084,FUNCTIONAL,The system shall provide an option to select or create albums when uploading photos.,"1066, 1070, 1086, 1090, 1140, 1153"
84,FR085,FUNCTIONAL,"The system shall display accurate and up-to-date birthday notifications, including ""Today"" birthdays.","1061, 1068, 1111"
85,FR086,FUNCTIONAL,"The system shall allow users to share videos to external apps (e.g., WhatsApp).","1144, 1145, 1146"
86,FR087,FUNCTIONAL,The system shall provide a reliable photo-sharing feature without blocking users after multiple shares.,1078
87,FR088,FUNCTIONAL,The system shall enable users to organize photos into specific albums directly from the app.,"1070, 1076, 1086, 1090, 1140"
88,FR089,FUNCTIONAL,The system shall allow users to upload multiple photos simultaneously.,1124
89,FR090,FUNCTIONAL,The system shall ensure that uploaded photos appear correctly on the timeline without requiring re-uploads.,"1101, 1161"
90,FR091,FUNCTIONAL,The system shall provide a clear method to clear failed upload notifications without restarting the device.,"1082, 1104"
91,FR092,FUNCTIONAL,The system shall implement a connection retry mechanism when network errors occur.,"1169, 1182, 1186, 1222, 1233, 1263"
92,FR093,FUNCTIONAL,The system shall provide an option to install and move the application to an SD card.,1267-1325
93,FR094,FUNCTIONAL,"The system shall allow users to manage storage preferences, including clearing cached data and temporary files.","1273, 1301, 1311, 1325, 1590, 1639"
94,FR095,FUNCTIONAL,The system shall allow users to post status updates successfully on the first attempt.,1326-1443
95,FR096,FUNCTIONAL,The system shall allow users to check in to locations and tag places.,"1351, 1357, 1377, 1382, 1395, 1405, 1406, 1410"
96,FR097,FUNCTIONAL,The system shall display the correct location when posting status updates.,"1339, 1351, 1418, 1419, 1438"
97,FR098,FUNCTIONAL,The system shall allow users to copy and paste text from posts.,"1394, 1492"
98,FR099,FUNCTIONAL,The system shall support voice messaging functionality.,"1384, 1422"
99,FR100,FUNCTIONAL,The system shall provide a swipe-to-delete gesture for comments.,"1454, 1508, 1509"
100,FR101,FUNCTIONAL,The system shall allow users to unfollow posts.,"1451, 1472"
101,FR102,FUNCTIONAL,"The system shall retain comment text when a posting attempt fails, allowing users to retry without re-entering the text.","1474, 1495"
102,FR103,FUNCTIONAL,"The system shall allow users to manage privacy settings for posts and photos, including selecting who can view them.","1480, 1481, 1482, 1485, 1513"
103,FR104,FUNCTIONAL,The system shall allow users to remove tags from photos and posts.,1502
104,FR105,FUNCTIONAL,The system shall allow users to poke friends.,"1469, 1494"
105,FR106,FUNCTIONAL,The system shall provide a visible and accessible camera icon/button for changing the cover photo on the mobile app.,1516-1568
106,FR107,FUNCTIONAL,The system shall enable password changes from the settings menu.,1537
107,FR108,FUNCTIONAL,The system shall include a language selection setting.,1566
108,FR109,FUNCTIONAL,The system shall allow users to disable the inbuilt Messenger feature if the standalone Messenger app is installed.,"1569, 1570"
109,FR110,FUNCTIONAL,The system shall provide multi-tab support for improved navigation.,1663
110,FR111,FUNCTIONAL,The system shall restore missing features present in the mobile web version.,"1674, 1680, 1742"
111,FR112,FUNCTIONAL,"The system shall ensure chat functionality works reliably, including message delivery and inbox updates.","1720, 1722, 1723"
