Length,Ratings,Review,Relevant
lenten,ratingtwo,"great game, but too many repetitive bubble tip pop-ups.
",info
leneleven,ratingfive,"give more fish bucks and lower prices, but it was awsome
",info
lenseventeen,ratingtwo,"i hate that after i get a new phone i have to start the whole game over.
",info
lennine,ratingfive,"wish breeding was quicker but looooooooove the app anyways!!!
",info
lennine,ratingfive,"love this game but it lags on my phone
",info
lentwentynine,ratingthree,"like but freezes phone alot new event frozen on training so can't complete a little disappointing, and wish could use coins instead of game dollars to revive fish.
",info
lennineteen,ratingtwo,"it made me continuously click a frog in a bubble, then froze up on me, so i deleted it.
",info
lenten,ratingfive,"why is algae reappearing in certain tanks immediately after cleaning....
",info
lenten,ratingfour,"i just wish it was easier to earn fish bucks
",info
lenseven,ratingfive,"forcing me to update is pretty rude.....
",info
lenthirty,ratingfive,"i was on level 36 and now i update and lose everything all because you decide to force me to update to a flawed version, thank you for ruining this game!!!!!
",info
leneleven,ratingfour,"wish there was a faster way though to get more fishbucks.
",info
leneleven,ratingfive,"give more fish bucks and lower prices, but it was awsome
",info
lentwentynine,ratingfive,"it's a great game very relaxing for me an keeps me busy so i never get bored,one thing needs fixin,ukeep same game even if switchin phone.
",info
lennine,ratingone,"i did not receive the two frogs for breeding.
",info
lenten,ratingone,"please give me my  frog so i can breed them.
",info
lensix,ratingfour,"wish could get fish bux easier
",info
lentwentyfive,ratingfour,"only one thing to make it better, a sign in. so when you get a new phone you don't have to start from scratch.
",info
lenten,ratingfour,"wish best decorations were available with coins instead of bucks.
",info
lennine,ratingfour,"wish i could earn bucks instead of buying them.
",info
lensix,ratingfour,"cost of best fish too high.
",info
lentwentytwo,ratingone,"did not get my fishbucks when i download game also played the froggy event and did not get breedable frog to breed
",info
lenfourteen,ratingone,"would someone like to explain why the frog challenge just ended a day early?
",info
lensixteen,ratingfour,"wish there were faster growing fish and that there were minigames to play to kill time
",info
lenfifteen,ratingfive,"the only thing i wish is that if you can turn coins into fish bucks.
",info
lenthirteen,ratingfive,"like 10,000 coins could get you 2 fish bucks and 20,000 coins could get you 5 or 6.
",info
lenten,ratingfour,"should be able to earn cash other ways than ads
",info
lenten,ratingfive,"love this game but is so hard 2 earn fish bucks
",info
leneighteen,ratingfour,"but maybe have the option of buying fish bucks with the coins, something to get more and faster.
",info
lenten,ratingone,"didn't get my $22 fish bucks for downloading ship wrecked!!
",info
lentwentyone,ratingthree,"this game can be very fun but it takes up so i much of your time taking care of the fish!
",info
lentwentyfive,ratingthree,"if you don't feed them for a day all the fish die, it sucked when i went on vacation and lost all my fish!
",info
lenthree,ratingone,"ripped off    75 bucks...
",info
lenfifteen,ratingone,"beware of this app,   when  a fish burp's  good bye to your fish bucks.
",info
lennine,ratingone,"get your missing, lost or stolen fish bucks back.
",info
lenseven,ratingone,"and refuse to replace missing buck's.......  :(  :( :( :( :( :( :( :( :( :( :( :( :( :( :'( :'(  :'( :'( :'( :'( :'(
",info
leneighteen,ratingthree,"wish you could earn more fishbucks within the game itself, but overall its cute and easy to play.
",info
lenfifteen,ratingone,"love it just wish there were more breedable fish that didn't cost fish bucks
",info
lenthirty,ratingfive,"update update fead up of the game stopping unexpectedly and only option is to force to close y can't there jst b a simple update makes the game work
",info
lennine,ratingfour,"if only it was easier to get fish bucks....
",info
lennineteen,ratingfive,"great game, just wish it didn't take so long to breed the fish! 3 days is a bit much.
",info
lentwentythree,ratingfive,"love it think its cool only complaint is i don't get the free fish bucks from the earn free fish bicks part
",info
lenseven,ratingone,"poor would not connect to the internet: (
",info
lennine,ratingfive,"its plays well but items ony last so long
",info
lensixteen,ratingfive,"i love the game i just wish it didn't take so long to get money
",info
lensixteen,ratingfive,"i love this game but i do wish that you could get fish buck way easier
",info
lentwentyfive,ratingfour,"love the game,  but it needs to have more fish you can buy with coins and less that you have to use the fishbucks for.
",info
lennine,ratingone,"to complete the game will cost u more than $200.
",info
lenthirtyfour,ratingtwo,"so, you aknowledged the fact that the frog challenge had a glitch by changing up the way to purchase the eggs but you won't reimburse the fish bucks lost because of that glitch?
",info
lenfourteen,ratingfive,"the only doubt is u can't get fishbucks 4 fishcash or whatever it is.
",info
lentwelve,ratingfive,"its just i ain't willing to spend money for fish money
",info
lenseven,ratingfive,"great ggame but takes too much internet
",info
leneight,ratingfive,"only thing i would change are the notifications.
",info
lentwentynine,ratingfour,"would rate it a 5 star but for some odd reason i can't breed any of my mystery fish so it's like if i bought them for nothing!:(
",info
leneighteen,ratingfour,"also lower the fish prizes a bit please and it will definitely be a 5 star game for me!!!:)
",info
lentwelve,ratingfour,"pass time favorite ,only dwn side is can't get fish bucks
",info
lenfourteen,ratingfour,"great game can't stop playing, just wish breeding didn't take so long
",info
lenthirtyone,ratingthree,"this app does events all the time that make you accidentally use ""fish bucks"" which are almost impossible to earn and all the coolest stuff you have yo pay for with.
",info
lensix,ratingone,"never got my 100 dollar worth fishbucks
",info
lenthirty,ratingfive,"i went to open my game an it says new bee event but nothin is there so u went to see if it needed updated an its up to date.
",info
lensixteen,ratingfive,"plus i lost 20 fish bucks during the frog event & i'm not sure how it happened.
",info
leneight,ratingthree,"takes way too long to breed fish though.
",info
lensixteen,ratingthree,"and it is irritating that you don't stay in the shop when buying multiple fish.
",info
leneight,ratingthree,"clicked on  bubble and accidentally lossed all fishbucks.
",info
lenseven,ratingthree,"would like to get the fb back.
",info
lentwentyeight,ratingone,"was fun, but, the new bubble is ridiculous, and when i went to.buy one fish, i couldn't make it stop until i had no more bucks.
",info
lentwenty,ratingone,"also, alot of the free buck opportunities, do.not give you.the bucks and the fish prices have become outrageous :(
",info
lenthirtyone,ratingfour,"i would say the only thing i dont like about it is that its hard to earn fish bucks,and alot of fish you have to buy with the fish bucks....
",info
lentwentytwo,ratingfour,"so i would rate this app as perfect if you were able to get free fish bucks and or earn them easier...
",info
lentwelve,ratingone,"and twice since the update all of my fish bucks have disappeared.
",info
lensix,ratingone,"i want my 20 fish bucks back
",info
lentwelve,ratingfour,"love this gane but would be great if the fish grew faster
",info
lennine,ratingfour,"wish there was a better to get fish bucks
",info
lentwentyone,ratingfive,"its fun and is like having real fish could do with some different plants and decorations to be added on though.
",info
leneleven,ratingthree,"needs more ""free cash & coins"", but over all very cool game.
",info
leneighteen,ratingthree,"i like the app but it wont let me buy fish so there is point keeping the app.
",info
leneighteen,ratingthree,"would like more coin fish less $ fish and the tasks given to be for coin fish not $ fish
",info
lennineteen,ratingtwo,"the fish that i'm breeding for the current event are disappearing when i move them into the tank.
",info
lentwenty,ratingfive,"i would really like if i could move to another device it seems to be taking a lot of space!
",info
