Length,Ratings,Review,Relevant
lensixteen,ratingfive,"sometimes when jumping the guy will do a full dive over the edge and kill himself.
",info
leneight,ratingfour,"the meter got stuck and doesn't move.
",info
lenten,ratingone,"i have a motorola triumph and it always force closes.
",info
lenthirtyfour,ratingfour,"i bought coins from the store but i can't get them it won't give them to me it was a waste of money if i can't get what i paid for
",info
lensix,ratingfive,"lags sometimes but not a lot.
",info
lentwentyfive,ratingthree,"like for eg i've got two coin objectives at the same time, so one of them fot stuck and cannot be completed anymore, shame.
",info
lenfourteen,ratingthree,"the first two weeks i had it the app opened now it won't
",info
lenseventeen,ratingone,"even after completing the gold miner(500000 lifetime coins) - currently 573355 coins in total - objective is in incomplete status.
",info
leneleven,ratingfour,"the timing is a bit off, but it is pretty addicting
",info
leneighteen,ratingone,"won't even let ne play and it keeps sending me to my home screen i hate it
",info
leneleven,ratingfour,"if it didn't lag & make u die 85% of the time.
",info
leneleven,ratingfive,"better graphic and gameplay, although stutter a bit on my device
",info
leneight,ratingtwo,"now it stutters, lags, and skips, very frustrating.
",info
lennine,ratingtwo,"when it reached level 7, this game becomes lags,wtf.!
",info
lentwelve,ratingthree,"the game lags a lot after the recent update please fix it.
",info
leneight,ratingthree,"it stucks sometimes in between,plz fix it!
",info
lenfourteen,ratingtwo,"my temple run 2 app gets force closing during  the loading screen please fix it.
",info
lenseven,ratingone,"it's not starting in htc desire .
",info
lenten,ratingthree,"i have 500000 lifetime coins but the objective still reads uncompleted.
",info
lenfive,ratingfour,"drain battery a little bit.
",info
leneight,ratingfour,"when i updated it it deleted my progress :-(
",info
lennine,ratingone,"have an s3 and this game still runs like crap.
",info
lenthirteen,ratingthree,"this game is nice but make it available of samsung galaxy y pls
",info
lenten,ratingfour,"but when are you guys gonna have better graphics its 2013
",info
lenfourteen,ratingthree,"its ok it just be skipping off and on and that's not cool.
",info
lensix,ratingfive,"i noy able to download it!
",info
lenthirtythree,ratingfour,"if you currently have a special ability active (magnet, shield, etc) & pick up another one, please add time to it or something - anything - better than having it just go to waste & be useless.
",info
lenten,ratingfour,"puts the battery on its knees in just few minutes.
",info
lentwentythree,ratingthree,"it was ok but when i turned it the stearing was stiff and it isn't my phone the first one is better.
",info
lensixteen,ratingthree,"the game is great, but with so much updates, now i can't pass through level 8.
",info
leneleven,ratingfive,"a really cool game, just make the course easy to see.
",info
lentwentysix,ratingthree,"i got the game then it said app uninstall when i try to buy it again it won't let me but the game is awesome
",info
leneleven,ratingthree,"i love this game but i could not install this game.
",info
lenfive,ratingfive,"runs pretty badly on nexus 7
",info
lenfive,ratingfive,"add new power and advanture.
",info
lenseven,ratingfour,"there is definite drag in the run.
",info
leneleven,ratingone,"please refund my money or add the gems to my account.
",info
lentwentyeight,ratingfive,"collection of diamonds r pretty hard but the spam for items are so fast that once this game is started it runs on ur fone the day long...
",info
lenten,ratingfive,"works great on phones but having trouble with my ipod ?
",info
lentwentyeight,ratingfive,"all the fun of the first with more except i do hate the mine cart part i rly feel like its not a proper part of the game
",info
lenthirteen,ratingthree,"i luv this game it has really improved but it kills the battery! :-(
",info
lentwelve,ratingfive,"i don't like the fact that you have to buy upgrades...
",info
lennine,ratingfive,"excellent game but new upgrade 3d version or hd version
",info
lentwenty,ratingfour,"but it glitches sometimes , way less than the first but sometimes i just don't feel like using my gems .
",info
leneight,ratingfour,"its a great game but it lags sometimes .
",info
lenseventeen,ratingfive,"could use some extra boosts more characters and rewards for finishing a objective and not a level
",info
lenten,ratingtwo,"the update turned the temple run less nice in control.
",info
lenthirteen,ratingthree,"great game but it is a little jerky and skips little parts frequently.
",info
lentwentyfour,ratingone,"as i open it , it just displays the opening screen and after a minute or so , it disappears and comes back to the homesceeen .
",info
lenfourteen,ratingfour,"i have earned more than 500k coins but that objective has still not ticked off!
",info
lennine,ratingfour,"also the 1000k coin bar isnt moving forward at all!
",info
lenfive,ratingtwo,"swipes often fail to register.
",info
lentwentyone,ratingfour,"if you jump early then you go through the cliff that your landing at even though you landed on the edge.
",info
lentwelve,ratingone,"game crashes on open pls fix i like this game very much
",info
lentwelve,ratingthree,"i just hate that the service gets interrupted alot playing this game.
",info
lentwentyfive,ratingfive,"i would love it if the whole game would go a little smoother, and that the mine carts and zip lines would be more frequent.
",info
lenfive,ratingthree,"this app won't download
",info
leneight,ratingfour,"needs update on tilting and more thrilling music.
",info
lenfifteen,ratingfour,"i have a galaxy s3 and the game still lags i dont get it at all.
",info
leneleven,ratingtwo,"everytime i click temple run it goes to my home screen
",info
lensixteen,ratingthree,"seems to be effecting the performance of my phone, slowing down other apps and freezing phone.
",info
lentwentytwo,ratingone,"on my phone i tap the app and it starts to load and then just goes back to its homescreen it sucks
",info
lensix,ratingfour,"sometimes  hangs while running on samsung s7562
",info
leneleven,ratingone,"game stucks every time when i am out at first time.
",info
lennineteen,ratingfour,"the option to disable game music works fine but the option to disable the game sound doesn't work.
",info
leneleven,ratingone,"i purchased coins over 2 weeks ago and have not recieved them
",info
lensixteen,ratingtwo,"its a good game but it lags so much and it makes me end up dying!
",info
lentwentyfour,ratingthree,"this game on my sony phone is completely laggy and i hate it, if it wasnt so addictive i would've uninstalled it already
",info
lentwentysix,ratingfour,"very good but better will be if the game has more than one temple and artefacts or idols to steal and different monsters to run from
",info
lenfortyeight,ratingthree,"on my lg optimus elite it glitches a bunch and if you could put a sensitivity toggle bar in that would be great because i have to turn my phone completely horizontal for it to recognize that i'm turning and leaning which makes for a frustrating game.
",info
lenthirteen,ratingone,"the objective gold miner stuck in the middle but i already reach 500k coins.
",info
lentwentysix,ratingfour,"it was a great game until the update, i updated and now i have to turn my tablet and it almost turns in a 180 degree angle.
",info
lenfive,ratingone,"temple run 2 does not download.
",info
leneight,ratingfour,"never saves data and freezes when u die
",info
lentwenty,ratingone,"ran okay before the last update now it's just unplayable i guess temple run wasn't meant for adreno 205 ; (
",info
leneight,ratingthree,"i like it but sometimes the is slow
",info
lenfortyfive,ratingthree,"is such an addictive app and really good but every time i go on it, it has the picture of where i fell off in the last game and doesn't move unless i restart my tablet so fix bugs and will be a five!
",info
leneight,ratingfive,"but add sensitivity controls like temple run 1 please?
",info
